Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Company-Name,Consumer-Name,Date,Cost,Gross-Margin%,Break-Even,Net-Sales,Sales-per-Qty,Profit-per-Qty,Cost-per-Qty
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,null,Taylor Melsome,2019-11-11,220.04639999999998,16.000000000000004,13.752899999999995,261.96,130.98,20.9568,110.02319999999999
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,null,Taylor Melsome,2018-09-17,512.3580000000001,30.0,17.0786,731.94,243.98000000000002,73.194,170.78600000000003
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,Rosenbaum-Moore,null,2019-08-21,7.748599999999999,47.0,0.16486382978723402,14.62,7.31,3.4357,3.8742999999999994
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,null,Vladamir Hay,2018-01-07,1340.6085,-40.00000000000001,-33.5152125,957.1274999999999,191.5155,-76.6062,268.12170000000003
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,null,Blondy Bellard,2019-06-08,19.851599999999998,11.250000000000004,1.7645866666666659,22.168,11.184,1.2582,9.925799999999999
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,null,Tommy Kohlerman,2019-02-10,34.6906,28.999999999999993,1.196227586206897,48.86,6.9799999999999995,2.0242,4.955800000000001
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,null,Brittan Scheffler,2019-12-19,5.3144,27.0,0.19682962962962963,7.28,1.82,0.4914,1.3286
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,null,Alejoa Kinder,2019-04-01,816.4368000000001,9.999999999999998,81.64368000000002,906.952,151.192,15.1192,136.0728
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,null,Laura Daintrey,2018-02-03,12.721500000000002,31.24999999999999,0.4070880000000002,18.304000000000002,6.168,1.9275,4.240500000000001
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,null,Alejoa Kinder,2018-07-22,80.43,30.0,2.681,114.9,22.98,6.894,16.086000000000002
